Getting list of Win32_PNPEntity devices failed. Error: 0x80041003
S24MAME crkdown-fdc-write cpu=:maincpu time=8.091853500 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.239343700 pc=001822 addr=b00006 data=4d4d mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.239347900 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.239351900 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.239362900 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.239366900 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.239374100 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-check frame=481 time=8.363344 mainpc=000ea4 subpc=000000
S24MAME crkdown-fdc-write cpu=:maincpu time=8.386864300 pc=001822 addr=b00006 data=4e4e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.386868500 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.386872500 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.386883500 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.386887500 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.386893900 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.529328300 pc=000eec addr=b00004 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.529339700 pc=000f12 addr=b00000 data=d0d0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.529343700 pc=000f20 addr=b00006 data=c0c0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.529345300 pc=000f26 addr=b00000 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.529349300 pc=000f34 addr=b00006 data=8a8a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.529350900 pc=000f3a addr=b00000 data=fdfd mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.534465500 pc=001822 addr=b00006 data=4e4e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.534469700 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.534473700 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.534484700 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.534488700 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.534495900 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.681986100 pc=001822 addr=b00006 data=4f4f mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.681990300 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.681994300 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.682005300 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.682009300 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.682015700 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.829505900 pc=001822 addr=b00006 data=4f4f mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.829510100 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.829514100 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.829525100 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.829529100 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.829536300 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.977026700 pc=0021d4 addr=b00004 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=8.977036700 pc=0018a8 addr=b0000a data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=8.977053900 pc=0800c0 addr=80001e canonical=1e data=8888 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.024427500 pc=0021d4 addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.024437700 pc=0018b2 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634872900 pc=000eec addr=b00004 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634884300 pc=000f12 addr=b00000 data=d0d0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634888300 pc=000f20 addr=b00006 data=c0c0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634889900 pc=000f26 addr=b00000 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634893900 pc=000f34 addr=b00006 data=8a8a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634895500 pc=000f3a addr=b00000 data=fdfd mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634935100 pc=0017ec addr=b00000 data=0000 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634947100 pc=001822 addr=b00006 data=3f3f mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634951300 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634955300 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634966300 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634970300 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.634977500 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.757198500 pc=000eec addr=b00004 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.757209900 pc=000f12 addr=b00000 data=d0d0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.757213900 pc=000f20 addr=b00006 data=c0c0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.757215500 pc=000f26 addr=b00000 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.757219500 pc=000f34 addr=b00006 data=8a8a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=9.757221100 pc=000f3a addr=b00000 data=fdfd mask=00ff
